date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:33:19	117/117	---M-Z	200	added ('OK')	text/plain	date:Mon,%2023%20Sep%202024%2022:33:19%20GMT	https://hostafi.com/robots.txt		(from )
23:33:20	182418/182418	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202024%2022:33:20%20GMT	https://hostafi.com/	C:/Users/aoudi/Videos/ademsuit/https___hostafi.com_/hostafi.com/index.html	(from )
23:33:20	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22b4e-66134e9b-17feaa;gz%22	https://hostafi.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.3	C:/Users/aoudi/Videos/ademsuit/https___hostafi.com_/hostafi.com/wp-content/plugins/contact-form-7/includes/css/styles7404.css	(from https://hostafi.com/)
23:33:20	152/152	---M--	200	added ('OK')	text/css	etag:%2298-66134e9b-17feab;;;%22	https://hostafi.com/wp-content/plugins/contact-form-7/includes/css/styles-rtl.css?ver=5.9.3	C:/Users/aoudi/Videos/ademsuit/https___hostafi.com_/hostafi.com/wp-content/plugins/contact-form-7/includes/css/styles-rtl7404.css	(from https://hostafi.com/)
23:33:21	118952/118952	---M-Z	200	added ('OK')	text/css	etag:%221d0a8-6627d532-23f3e1;gz%22	https://hostafi.com/wp-content/plugins/elementor/assets/css/frontend-lite-rtl.min.css?ver=3.21.1	C:/Users/aoudi/Videos/ademsuit/https___hostafi.com_/hostafi.com/wp-content/plugins/elementor/assets/css/frontend-lite-rtl.min1f75.css	(from https://hostafi.com/)
23:33:21	7929/7929	---M-Z	200	added ('OK')	application/rss+xml	etag:%22aa282ffcc4355864918ee67d8d59ec14%22	https://hostafi.com/feed/	C:/Users/aoudi/Videos/ademsuit/https___hostafi.com_/hostafi.com/feed/index.html	(from https://hostafi.com/)
23:33:21	30/30	---M--	200	added ('OK')	text/css	etag:%221e-66134f39-18062d;;;%22	https://hostafi.com/wp-content/plugins/hostim-core/elementor/modules/templates/assets/css/template-frontend.min.css?ver=3.1.5	C:/Users/aoudi/Videos/ademsuit/https___hostafi.com_/hostafi.com/wp-content/plugins/hostim-core/elementor/modules/templates/assets/css/template-frontend.minc6bd.css	(from https://hostafi.com/)
23:33:21	722/722	---M-Z	200	added ('OK')	application/rss+xml	etag:%22aa282ffcc4355864918ee67d8d59ec14%22	https://hostafi.com/comments/feed/	C:/Users/aoudi/Videos/ademsuit/https___hostafi.com_/hostafi.com/comments/feed/index.html	(from https://hostafi.com/)
23:33:21	10622/10622	---M-Z	200	added ('OK')	text/css	etag:%22297e-66134f0c-1804f1;gz%22	https://hostafi.com/wp-content/plugins/hostim-core/assets/css/bootstrap-slider.css?ver=6.6.2	C:/Users/aoudi/Videos/ademsuit/https___hostafi.com_/hostafi.com/wp-content/plugins/hostim-core/assets/css/bootstrap-slider109c.css	(from https://hostafi.com/)
23:33:22	97/97	---M--	200	added ('OK')	text/css	etag:%2261-66134f0d-1804f6;;;%22	https://hostafi.com/wp-content/plugins/hostim-core/assets/css/override-elementor.css?ver=6.6.2	C:/Users/aoudi/Videos/ademsuit/https___hostafi.com_/hostafi.com/wp-content/plugins/hostim-core/assets/css/override-elementor109c.css	(from https://hostafi.com/)
23:33:22	45632/45632	---M-Z	200	added ('OK')	text/css	etag:%22b240-66134f0d-1804f3;gz%22	https://hostafi.com/wp-content/plugins/hostim-core/assets/css/custom.css?ver=6.6.2	C:/Users/aoudi/Videos/ademsuit/https___hostafi.com_/hostafi.com/wp-content/plugins/hostim-core/assets/css/custom109c.css	(from https://hostafi.com/)
23:33:22	270502/270502	---M-Z	200	added ('OK')	text/css	etag:%22420a6-66134e26-17fd2d;gz%22	https://hostafi.com/wp-content/themes/hostim/assets/css/bootstrap.rtl.css?ver=6.6.2	C:/Users/aoudi/Videos/ademsuit/https___hostafi.com_/hostafi.com/wp-content/themes/hostim/assets/css/bootstrap.rtl109c.css	(from https://hostafi.com/)
23:33:22	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-6627d532-23f5ae;gz%22	https://hostafi.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/aoudi/Videos/ademsuit/https___hostafi.com_/hostafi.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://hostafi.com/)
23:33:22	123543/123543	---M-Z	200	added ('OK')	text/css	etag:%221e297-66134e25-17fd29;gz%22	https://hostafi.com/wp-content/themes/hostim/assets/css/all.min.css?ver=6.6.2	C:/Users/aoudi/Videos/ademsuit/https___hostafi.com_/hostafi.com/wp-content/themes/hostim/assets/css/all.min109c.css	(from https://hostafi.com/)
23:33:23	5418/5418	---M-Z	200	added ('OK')	text/css	etag:%22152a-66134e26-17fd31;gz%22	https://hostafi.com/wp-content/themes/hostim/assets/css/magnific-popup.css?ver=6.6.2	C:/Users/aoudi/Videos/ademsuit/https___hostafi.com_/hostafi.com/wp-content/themes/hostim/assets/css/magnific-popup109c.css	(from https://hostafi.com/)
23:33:23	57882/57882	---M-Z	200	added ('OK')	text/css	etag:%22e21a-66134e25-17fd28;gz%22	https://hostafi.com/wp-content/themes/hostim/assets/css/animate.css?ver=6.6.2	C:/Users/aoudi/Videos/ademsuit/https___hostafi.com_/hostafi.com/wp-content/themes/hostim/assets/css/animate109c.css	(from https://hostafi.com/)
23:33:23	241404/241404	---M-Z	200	added ('OK')	text/css	etag:%223aefc-66134e25-17fd2b;gz%22	https://hostafi.com/wp-content/themes/hostim/assets/css/app.css?ver=3.7.0	C:/Users/aoudi/Videos/ademsuit/https___hostafi.com_/hostafi.com/wp-content/themes/hostim/assets/css/app3088.css	(from https://hostafi.com/)
